id,phase,severity,status,title,how_found,root_cause,fix,verification,files
P2-054,2J,medium,fixed,"The umbrella mesh aborted the Blender build with ""internal error setting the array""",Running 58_weather.py for the first time,"The canopy underside was the same triangles wound backwards. mesh.validate() removes reversed duplicates, so the per-loop colour array was 96 entries against 72 loops. Blender's own message names neither the mesh nor the cause","Build the underside as a real second shell offset by 20 mm, and add an explicit length check in to_object that names the mesh and the number of dropped faces",PROP_umbrella exports at 42 verts and 40 tris; the guard now fails loudly rather than as an internal error,scripts/phase2/58_weather.py
P2-055,2J,low,fixed,Rebuilt asset glbs were silently not picked up in dev,"A rebuilt weather.glb did not change the render, which is the same symptom as P2-021","The world tiles carry an mtime in their URL for cache busting, but vehicles.glb, props.glb, peds.glb and weather.glb do not, and the /tiles/ mount is served with max-age 3600",Append a timestamp query in dev builds only; production relies on file hashing,A rebuilt weather.glb now takes effect on reload without clearing the browser cache,apps/manhattan-threejs/src/weather.js;apps/manhattan-threejs/src/props.js;apps/manhattan-threejs/src/pedestrians.js;apps/manhattan-threejs/src/vehicles.js
P2-056,2K,high,fixed,"The first penthouse capture showed no room at all, only the view","Looking at the capture: a 464 m panorama with no floor, no ceiling and no glass in frame","The camera offset and look direction were derived from the room's yaw by hand. The rooms are authored Blender-side as +x into the room, +y left, +z up, and the exporter remaps that to (x, z, -y) -- so the hand-written trig put the camera outside the building facing away from it","Transform the eye, look target and doorway through the group's own matrix with a single local(bx, by, bz) helper that applies the Blender-to-glTF axis swap once, and enter with camera.lookAt rather than a computed yaw","Camera inside the room bounding box and the room inside the frustum, asserted for all three rooms; the room is visible in every capture",apps/manhattan-threejs/src/interiors.js
P2-057,2K,medium,fixed,"The corner market was placed inside New 42nd Street Studios, which is a theatre",Printing the building each interior anchored to,"The anchor test used height and position only, so it took whatever low building was tallest in the search box","Require a mixed_use_avenue, retail_podium or cast_iron_loft archetype as well",The market now anchors to a mixed_use_avenue building; the penthouse independently picked Central Park Tower at 472 m and the lobby a 325 m tower,apps/manhattan-threejs/src/interiors.js
P2-058,2K,medium,fixed,Every interior ceiling rendered pure black,"The first framed penthouse capture: floor lit, ceiling absent","The indoor fill is a HemisphereLight, whose sky colour lights up-facing surfaces and ground colour down-facing ones. A ceiling faces down, and the ground colour was 0x2a2622",Warm the ground colour to 0xb9a894 and raise the indoor intensity; the luminous ceiling panels carry the rest through the emissive patch,Ceiling and panels both read in all three interior captures,apps/manhattan-threejs/src/interiors.js
P2-059,2L,medium,fixed,The HQ lift link to Floor 45 dangled and the HQ lobby was never placed,A console warning on boot: dangling link hq_floor45 -> hq_lobby,"hq.js built its room map from hq.glb alone, but the lobby it reuses is INT_lobby, which lives in interiors.glb","Seed the map from the interiors loader's own mesh map, so an authored room can be stood up a second time somewhere else","Both links resolve; the runtime reports rooms [hq_lobby, hq_floor45] and E rides the lift in both directions",apps/manhattan-threejs/src/hq.js;apps/manhattan-threejs/src/interiors.js
P2-060,2L,high,fixed,The building the HQ stands on was invisible but still solid,Raycasting down through the HQ footprint to check what was under the tower: the hidden building answered at 112.4 m,"Suppression collapses vertices in the vertex shader, so the CPU geometry is untouched and every raycast still hits it. The filter that should have caught that missed too: Draco quantises _BID, so it decodes as 34686.0039 and the Map lookup for 34686 failed","Round the decoded id, and route the walk collider and the building inspector through the same hitSuppressed() predicate","Ray down the old footprint: top hit was bid 34686 at 112.4 m, now the ground at 12.0 m, 2 hits dropped; a neighbouring column drops 0",apps/manhattan-threejs/src/facade.js;apps/manhattan-threejs/src/controls.js;apps/manhattan-threejs/src/main.js
P2-061,2L,high,fixed,The walk collider pushed the player into buildings instead of out of them,A scripted walk straight at the HQ podium ended up 36 m inside the building,"_resolveWalls probed along the four world axes and pushed back along the probe axis rather than along the wall. Manhattan's grid is about 29 degrees off the world axes, so for nearly every wall in the city that push has a component along the wall -- measured at +0.48 m of forward travel per metre of push against the HQ podium","Push along the hit face's world-space normal, falling back to the probe axis only when the face has none","The same scripted walk now stops at local x 8.29 against a facade at 9.0, one body radius short; the open-street control still runs free",apps/manhattan-threejs/src/controls.js
P2-062,2L,high,fixed,Every box in the authored asset library was wound inside out,"Chasing P2-061: a front-side raycast at the podium wall passed through x=9 and hit x=46, and the face normal at 9 pointed +x, into the building","Builder.box() listed its six faces with reversed winding. Signed volume of a 2 m cube came out -8 instead of +8. Backface culling then dropped every near face and left the viewer looking at the inside of the far one, which on a convex flat-shaded box is nearly invisible -- so it survived in five scripts covering the vehicle fleet, 112,418 props, the rain, three interiors and the HQ",Reverse the six face tuples in all five copies of Builder.box() and re-export every asset,Signed volume +8.0 after the fix; the podium face at x=9 is now a front-side hit with normal -x; the plaza capture visibly changes from the dark far wall to the pale stone that was authored,scripts/phase2/52_vehicles.py;scripts/phase2/54_props.py;scripts/phase2/58_weather.py;scripts/phase2/60_interiors.py;scripts/phase2/62_hq.py
P2-063,2L,medium,fixed,The HQ lobby looked at a wall instead of the street,The first HQ lobby capture: a glazed street wall with flat grey two metres beyond it,"The podium's entrance recess was authored as one solid block so it would read as a reveal from the plaza; the lobby is placed 0.6 m behind it, so the block sat between the lobby glass and the street","Build the recess as real jambs and a head around a 20 x 7.2 m opening, with a threshold slab","The lobby capture now shows the pavement, the buildings opposite, street trees and a pedestrian through the glass",scripts/phase2/62_hq.py
P2-064,2L,low,fixed,Floor 45's glass briefing room rendered as an opaque grey box,The first Mission Control capture: a solid block in the middle of the operations floor,"Its two glass walls were authored into INT_floor45, which the runtime renders with the opaque room material; only meshes named GLAZE_* get the transparent one",Move the two walls into GLAZE_floor45 and leave mullions behind in the shell,The briefing room reads through in the Mission Control capture; GLAZE_floor45 went from 2 panes to 4,scripts/phase2/62_hq.py
P2-065,2L,medium,fixed,The HQ site picker chose the frontage street by segment midpoint,The first run reported a lot addressed on West 42nd Street as fronting West 41st,"nearest_street() compared the distance to each segment's midpoint. A long segment running past the front door has its midpoint half a block away -- the same mistake as P2-045, which picked an LOD tier by distance to the tile centre",Project the point onto the segment and use the closest point on it,"The chosen lot's frontage is now the street its own footprint touches; yaw is emitted once at build time and the runtime uses it verbatim, so placement and suppression cannot disagree",scripts/phase2/63_hq_site.py
P2-066,2M,high,fixed,The corridor could not route from the penthouse to the market,"Boot log: 'no market route, 2.63 km to the HQ' -- one of two routes solved","The route solver treated the graph's oneway field as a boolean. It is tri-state: 1 is a->b, -1 is b->a, 0 is both. Treating -1 as truthy sent 4,271 of the 11,395 drivable edges the wrong way and stranded whole neighbourhoods",Add the a->b arc when oneway >= 0 and the b->a arc when oneway <= 0,"Both routes solve: 2,509 m driven against 2,252 m straight (ratio 1.11) to the market, 2,705 m against 1,851 m (1.46) to the HQ; 210 samples at 25 m spacing all sit 0.00 m from a drivable centreline",apps/manhattan-threejs/src/corridor.js
P2-067,2M,high,fixed,The lift ride showed open sky instead of the inside of a lift,The first descent capture: Manhattan from 450 m with a grey slab floating in it,"LIFT_cab's three solid walls were authored with inward=False, so they face out. A lift is only ever seen from inside, and from inside they were backface-culled",Drop the flag; all three walls face in,"The descent capture now shows the cab, the car operating panel and the floor readout, with Central Park going past through the door gap",scripts/phase2/64_corridor.py
P2-068,2M,medium,fixed,The lift ride faced whatever direction the previous leg left the camera in,"The second descent capture: inside the cab, but nose-first into a corner",The lift leg set the cab's position and the camera's position but never its orientation,"Aim at the doors and the floor indicator on entering the leg, and leave mouse-look free for the rest of the ride",The capture faces the doors; the panel is in frame on the left,apps/manhattan-threejs/src/corridor.js
P2-069,2M,medium,fixed,The driver's view was blacked out across the top quarter,The first driving capture: a solid black band over the windscreen,"The headlining, both roof rails, the mirror and the sun visors all ran forward past the windscreen header, overhanging the glass by 0.33 m and sitting between the eye and the road","End the headlining and rails at the header, and move the mirror and visors behind it",The windscreen aperture now reads from the bonnet to the buildings up the avenue; headroom over the driver's eye measured at 0.27 m,scripts/phase2/64_corridor.py
P2-070,2M,medium,fixed,Mouse-look was pinned to the windscreen while driving,Reading the drive path: _driveAt re-aimed the camera at a point 30 m up the road on every frame,Setting an absolute look direction per frame overwrites whatever the player did with the mouse in between,"Aim once when the leg starts, then apply only the car's yaw *delta* each frame, so the view turns with the car and the player can still look out of the side window",The driving capture is taken with the default heading; turning the view during a leg now persists across frames,apps/manhattan-threejs/src/corridor.js
P2-071,2M,high,fixed,The corridor's final shot came back a flat colour,The arrival capture at Shenron: 1280x720 of uniform dark blue,"The camera was placed at dais x minus 5.6 m, which is room-local x = -0.8 -- outside Floor 45 and inside the tower's curtain wall","Place it between the glazing and the dais, off to one side, so the form reads against the operations floor rather than against the window","The arrival capture shows the form coiling above the dais with the consoles, the video wall and the city behind it",apps/manhattan-threejs/src/corridor.js
P2-072,2M,low,fixed,The car interior rendered as black cut-outs,The driving capture: dashboard and steering wheel silhouetted against a correctly lit street,"The cabin is lit only by the scene's sun, which reaches none of it; a real interior in daylight is full of bounce off the road and the buildings","Raise the shared indoor fill to 0.62 for the driving legs, low enough that the city through the glass is still the bright thing","Dash, wheel, door cards and seats all read in the driving capture",apps/manhattan-threejs/src/corridor.js
P2-073,2N,high,fixed,ODbL attribution was present but not reasonably findable,Auditing the release blocker: reading index.html and style.css rather than trusting that the line existed,"The notice named two of the eight datasets the world is built from, and was rendered at 11px with opacity .65 and pointer-events:none in the corner of a 3D scene. ODbL 4.3 asks for attribution a reader can actually find, and 'technically on screen' is not that","Legible one-line notice with a working link, plus a full credits panel listing every dataset, its id and its licence, reachable with L or from the link. H no longer hides the notice","Credit line reads 'Map data (c) OpenStreetMap contributors, ODbL 1.0 - NYC Open Data - MTA - data sources & licences'; the panel carries 9 dataset rows and the derivative-database statement",apps/manhattan-threejs/index.html;apps/manhattan-threejs/src/style.css;apps/manhattan-threejs/src/main.js
P2-074,2N,medium,fixed,Subway kiosks from the same station stacked on top of each other,Measuring pairwise centre distances across all 658 placed kiosks,"A station complex publishes several entrances within a few metres of each other and each snapped to the nearest wide pavement independently, so nine pairs overlapped and two landed at exactly the same point","After snapping, slide along the kerb line in 1 m steps until the kiosk clears every placed neighbour by 3.0 m; drop it rather than stack it if 12 m of sliding does not clear","Overlapping pairs 9 -> 0, closest centres now exactly 3.00 m; 8 kiosks nudged, 0 dropped for clashing; 98.3% of centres still inside a surveyed sidewalk polygon",scripts/phase2/67_build_subway.py
P2-075,2N,medium,fixed,The runtime's start position was labelled Times Square and is not,"A demand probe at the documented 'Times Square' coordinate returned 0 station entrances, which is impossible for that corner","START was (-1900, -600), which is 40.7746 N 73.9905 W -- Lincoln Square, about 1.8 km up Broadway. Times Square is (-1476, -2433). Performance figures measured at the start position had been reported as Times Square numbers, and Times Square is the denser of the two views","Move START to the real Times Square and name the constant, with the old value and why it mattered recorded in the comment","The boot camera now opens at (-1476, -2433); the same probe returns 0.78 entrances per cell and demand 0.97",apps/manhattan-threejs/src/main.js
P2-076,2N,low,fixed,The ingest could not reach any dataset outside the city's own portal,"Looking for subway entrances: the MTA publishes on data.ny.gov, and every id 404ed against data.cityofnewyork.us",The Socrata host was baked into the BASE format string,"Let a dataset id carry its own host as 'host/id', defaulting to the city portal",868 Manhattan entrances fetched from data.ny.gov i9wp-a4ja in 2 s; the seven existing city jobs are unchanged,scripts/phase2/40_fetch_nyc_open_data.py
P2-077,2L,medium,fixed,"No permanent winding guard: the P2-062 inside-out fix corrected Builder.box() but added no assertion, so the same defect class could return silently","Reading the HANDOFF section-0 checklist against the five fixed scripts during the qa-integrity audit","The fix verified signed volume once (+8.0 for a 2 m cube) but did not make the measurement a build gate, exactly what HANDOFF section 0 prescribes","New scripts/mesh_audit.py (pure stdlib, no bpy import): signed_volume, is_closed, assert_outward (hard fail for exterior solids) and report_volume (diagnostic for interior shells). Wired into all 8 Builder.to_object() copies: hard assert in 52_vehicles, 54_props, 56_build_lods, 58_weather, 66_subway; diagnostic in 60_interiors, 62_hq, 64_corridor (rooms wind inward by design). Self-test: cube +8.0 / inverted -8.0 caught, open meshes skipped","python scripts/mesh_audit.py --self-test -> pass:true. All primitives measured outward-wound: box 8.0, tapered box 4.667, tube 5.657, cone 1.886, blob 2.828 (all closed). All 8 authoring scripts still compile",scripts/mesh_audit.py;scripts/phase2/52_vehicles.py;scripts/phase2/54_props.py;scripts/phase2/56_build_lods.py;scripts/phase2/58_weather.py;scripts/phase2/60_interiors.py;scripts/phase2/62_hq.py;scripts/phase2/64_corridor.py;scripts/phase2/66_subway.py
P2-078,3B,high,fixed,Every doorway walk-in approached the wall 1.70 m to the side of its own opening,"Booting the app headless and printing room.local(0,0,1.7) against group.localToWorld(0,0,1.7) for all six rooms; then tracing the walk frame by frame","doors.js was written in the authored room frame (+x into, +y left, +z up) but fed those vectors straight to group.localToWorld, whose frame is (x into, y up, z along the wall). The Blender->glTF swap (x,y,z)->(x,z,-y) that interiors.place() keeps in room.local() was applied zero times, so 1.7 m up became 1.7 m sideways -- the same class as P2-056","authToLocal/localToAuth cross the boundary once, in _local() and roomToWorld(); the door assembly gets the same swap as a single -90 deg rotation about x on its own child group (AUTHORED_ROT_X)","The two readings differed by exactly 1.70 m of height on all 6 rooms. Before: camera pinned at room-local x = -0.721 m for 65 consecutive frames with the door fully open. After: 4/4 doorways crossed, walk-in max per-frame jump 0.157-0.161 m",apps/manhattan-threejs/src/doors.js;scripts/qa/door-cut.test.mjs;scripts/qa/doorcheck-run.mjs
P2-079,3B,high,fixed,"The wall cut rebuilt its faces from fan indices used as vertex offsets, scattering geometry back across the opening","A collision probe cast from inside the home lobby at the stall point hit tile geometry at (u,v) = (0.00, 0.99) -- dead centre of a 2.2 x 2.5 m doorway that rays at other heights passed straight through","cutWallInMesh built a fan index over a shared vertex list, then emitted triangles as [base+i, base+i+1, base+i+2] with i running over the fan values rather than its positions. The rebuilt faces referenced whatever vertices sat at those offsets. The pure cut math was unit-tested and correct; nothing tested the index bookkeeping",Emit three fresh vertices per fan triangle and index them sequentially. Added three geometry-level tests that raycast the rebuilt mesh rather than checking polygons,Doorcheck went from 0/4 to 3/4 passing on this fix alone. Opening probe blocked 0/15 rays at all four doorways; unit tests 26/26 including out-of-range index and area conservation (kept 234.5 m2 of a 240 m2 quad minus a 5.5 m2 door),apps/manhattan-threejs/src/doors.js;scripts/qa/door-cut.test.mjs
P2-080,3B,high,fixed,The glazed entrance wall was deleted rather than opened,Counting surviving triangles in each room glaze mesh after the cut,"_cutRoomGlass dropped every triangle whose AABB touched the door box. The lobby glaze is a single 24 m quad, so the whole pane went","New cutGlazeRect does the same exact 2D rect subtraction the wall gets, in the glaze own (along-wall, up) frame, and only on faces within 0.5 m of the entrance plane",Glaze triangles remaining 0 -> 6 (bodega) and 12 (the three lobbies); unit test asserts kept area equals pane minus door and no vertex sits strictly inside the opening,apps/manhattan-threejs/src/doors.js;scripts/qa/door-cut.test.mjs
P2-081,3B,high,fixed,The door assembly was built lying on its side,Measuring the world AABB of the leaf and the lit ceiling panel,Same authored-frame error as P2-078: the assembly boxes were built with the along-wall and up axes swapped,"The assembly hangs off a child group carrying AUTHORED_ROT_X; _assemblyMetrics() reports leaf height, leaf width and lit-panel height so the check needs no render",Leaf 1.76 m tall / 2.36 m wide -> 2.36 m tall / 1.58 m wide; lit panel 0.17-1.83 m above the pavement -> 2.63 m above the floor,apps/manhattan-threejs/src/doors.js
P2-082,3B,high,fixed,"The HQ podium authored entrance recess is solid, and a door was placed on it","Rays into HQ_tower at 1 m spacing from -4 m to +4 m along the frontage, at four heights","kind:recess skipped the wall cut entirely on the assumption the podium already had an opening, and RECESS_WALL_DIST hard-coded the podium front at 5.0 m. Measured, the front is solid at every sample and sits 0.4 m from the room origin, so the assembly and the crossing plane stood 4.5 m out in the open plaza with the real wall untouched behind them","A recess is cut like any other wall. The tower is a standalone mesh with no _bid and its own transform, so the cut resolves the wall by ray and runs in the mesh own coordinates (_frameInMeshSpace)",wallDist 5.0 assumed -> 0.40 measured; 6 podium faces cut; opening probe blocked 15/15 -> 0/15; walk-in crosses in 43 frames with max jump 0.157 m,apps/manhattan-threejs/src/doors.js
P2-083,3B,high,fixed,"Rooms were shifted away from their own frontage, so the doorway was cut into a wall the player never reaches",Re-measuring the wall distance from the room final position after the shift,"Three faults compounded: the shift moved the room along +doorDir, which points into the building; the rotation aligned the room to one candidate wall while the shift used a different one distance; and _findWall projected the door axis by stepping along the normal from a face centroid, which lands off the plane by the whole wall distance and wherever the nearest triangle happened to be",Correct the projection to a true perpendicular foot; iterate rotate/re-resolve until the frontage settles (FRONTAGE_PASSES); shift along -doorDir; then resolve the final wall by ray from the room settled position and report the residual,"Post-shift distance to the cut wall: 16.99 m / 9.80 m / 5.39 m -> 0.350 m at all three wall doorways, exactly WALL_GAP",apps/manhattan-threejs/src/doors.js
P2-084,3B,medium,fixed,Walking out of a doorway launched the camera 2.6 m onto the door header,"The reverse-traversal walk test max per-frame jump, with the surface underfoot recorded","controls._groundBelow casts from a metre above the eye and returns the first hit, so a door header or lit ceiling panel overhead counts as ground; the caller then snaps the camera to it with no upward limit",Skip hits more than one step above the feet and keep searching downward. STEP raised 0.55 -> 0.65 m because the HQ podium plinth the lobby doorway sits on measures 0.60 m and a doorway you cannot step up to is not a doorway,"Reverse-traversal max jump 2.595 m -> 0.161 m at the three wall doorways (0.623 m at the HQ, which is the step down off its plinth)",apps/manhattan-threejs/src/controls.js
P2-085,3B,medium,fixed,Squeezing through a doorway displaced the camera 0.98 m in one frame,"The walk test max per-frame jump, recorded with the door state at that frame","_resolveWalls runs four axis probes and each pushes up to the body radius; in a doorway they compound. Correct collision response, but a visible discontinuity",Clamp the total per-frame wall correction to 0.35 m; a deeper overlap resolves over the following frames,"Walk-in max jump 0.979 m -> 0.161 m, against a 0.5 m budget",apps/manhattan-threejs/src/controls.js
P2-086,3B,medium,fixed,The automatic door had no sensor on the room side and opened too slowly to walk through,"The door-cycle and reverse-traversal checks: the reverse walk never crossed in 181 frames, and the walk-in always met a quarter-open leaf","The trigger volume spanned only the street side, 2.3 m out, against a 2.2 s slide. The player covers 2.3 m in 0.55 s, and a door that only senses the street shuts behind whoever walked in","Trigger spans -5.0 to +2.6 m about the door plane; leaf travel 1.1 s open / 1.6 s close (1.6 m/s, about what a real automatic entrance does)",Reverse traversal crossed=false in 181 frames -> crossed=true in 43; door cycle still opens twice and closes twice,apps/manhattan-threejs/src/doors.js
P2-087,3B,medium,fixed,"The passage cut was a demolition, and it also blew out the exact cut it had just made","Counting what the sweep removed, and probing the market threshold for the adjacent school wall","The sweep dropped every triangle whose AABB intersected the door box. In a merged tile mesh a neighbour wall quad runs ground to roof, so whole facades went -- and the four exact pieces around the fresh hole have AABBs touching the box too","Same exact rect subtraction in the same wall frame, applied to other buildings faces only, inflated by 0.15 m so a non-parallel neighbour leaves no slivers, plus a containment sweep for faces that cannot be rect-subtracted. A depth band and a per-triangle AABB keep the cut local; without the band the wall frame is an infinite plane and punches phantom doorways down the block","Market threshold probe blocked 15/15 -> 0/15 rays; passage cut 4 faces of the neighbouring school plus 1 contained triangle, and nothing else",apps/manhattan-threejs/src/doors.js
P2-088,3B,medium,fixed,"The doorway collider used a stale world matrix, so an open door still blocked the player",Instrumenting the walk test wall probes: Mesh < leaf < authored on 160 of 181 frames with the door reading fully open,"update() moved the leaf but nothing pushed the change into its world matrix. Raycasting trusts matrices rather than updating them, and the QA harness freezes the render loop, so the collider saw the leaf where it was at boot",updateMatrixWorld on the door group immediately after the leaf moves,Walk-in inside=false in 181 frames -> inside=true in 43,apps/manhattan-threejs/src/doors.js
P2-089,3B,low,fixed,--expansion overwrote the file the runtime reads,Reading 68_build_doors.py while preparing the expansion path,"Both modes wrote data/manhattan/doors/doors.json, so generating the entrance-treatment set would have handed the runtime ~660 entries with no interior behind them -- holes into solid buildings, and the phase gate bypassed by a command-line flag","The expansion set writes doors_expansion.json with runtimeEnabled:false; doors.load() refuses any config carrying that flag, and an entry with no interior room cuts nothing","doors.json still holds the 4 corridor doorways after an --expansion run; 631 subway-tranche entries written to the separate file, all with a measured frontage yaw",scripts/phase2/68_build_doors.py;apps/manhattan-threejs/src/doors.js
P2-090,3B,low,fixed,"The approximately 660 expansion set was generated as 13,125 buildings",Counting the generator output against the HANDOFF figure,The generator unioned the subway-adjacent buildings with every retail ground floor and reported the total under a heading quoting ~660,"Two tranches: subway (the HANDOFF number) by default, retail behind --include-retail, each row tagged","631 buildings within 30 m of one of the 658 entrances (284 at 20 m, 480 at 25 m, 1,053 at 40 m); retail ground floor 12,834; union 13,125",scripts/phase2/68_build_doors.py
